13-skala	«13»skalo
bokollektiv	bokollektiv
boksekamp/boksning	fakbatalo/boksning
bokser	boksero
boks	fako
bold/en knudegevækst under huden	pilko/* nod«gevækst» sub la hauxto
boldtræ	pilkuj
boligafgift	logxejimposto
boligaftale	logxejinterkonsento
boliganvisning	logxejindiko
boligareal	logxejareo
boligbehov	logxejbezono
boligbestand	logxej«bestand»
boligbidrag	logxejkontribuo
boligbyggeri	logxejkonstruado
boligbyggeri, støtte til	logxejkonstruado, apogo al
boligbørnetilskud	logxej«børnetilskud»
boligdirektorat	logxej«direktorat»
boligenhed	logxejunueco
boligens alder og slidtage	de la logxejo agxo kaj konsumuzpreni
boliger, leje af	logxejoj, lupago de
boliger, udlejning af	logxejoj, ludono de
boligforhold	logxejcirkonstanco
boligforsyning	logxej«forsyning»
boligforvaltningen	logxej«forvaltning»
boligforvaltning	logxej«forvaltning»
boligindskud	logxejdeponajxo
boligkvarter	logxej«kvarter»
bolig	logxejo
boliglån	logxejprunto
boligmangel	logxejmalabundo
boligmasse	logxejamaso
boligminister	logxejministro
boligområde	logxejregiono
boligopsparingskonto	logxej«opsparingskonto»
boligrummelighed	logxejvasteco
boligsikring	logxejcirkvitrompilo
boligsikringsberegning	«boligsikring»«beregning»
boligsikringsordning	«boligsikring»arangxo
boligsikringsydelse .	«boligsikring»pago .
boligsikringsår	«boligsikring»vundo
boligstatistikregistret	boligstatistikregistr
boligstøttehus	«boligstøtte»domo
boligstøtte	logxejapogo
boligsubsidier	logxej«subsidium»
boligsøgende	boligsøgende
boligsøgende, indberetning af	boligsøgende, memuaro de
boligtager	logxej«tager»
boligtilskud	logxejsubvencio
boligtilvækst	logxej«tilvækst»
boligtjenestetelefon	boligtjenestetelefon
boligtype	logxejtipo
boligtæthed	logxejintenso
boligudgifter	logxejelspezoj
boligudvalg	logxejkomisiono
boligventeliste	logxejatendlisto
boligvisitationsgruppe	boligvisitationsgruppe
boligvisitationsudvalget	boligvisitationsudvalget
bolle	bulko
bolschevik	bolschevik
bolsje	bonbono
bom	bariero
bombe	bombo
bomuld	kotono
bomuldsstof/anorakstof	kotonteksajxo/anorakmateri(al)o
bomuldsstof	kotonteksajxo
bonus	bonus
bonus/repartition	bonus/repartition
boom	hauxso
bopladsens mænd er inviteret til fællesspisning/der inviteres t	boplads viroj estas invitita al komunmangxado/tie invitigxas t
bopladsens stærke mand	boplads forta viro
bo	postlasajxo
bopæl	domicilo
bopælskommune	domicilkomunumo
bopælsregistrering	domicilregistrado
bor	borilo
borddame/bordherre	tabldamo/tablsinjoro
bordel	bordelo
borderline, se grænsepsykose	borderline, vidi limo «geo)psikozo
borderlinetype	borderlinetype
bordmåling	tabl«måling»
bord/spisebord	tablo/mangxtablo
borer i det	boras en gxin
borer med drilbor	boras kun drilo
borgerligt ombud	burgxa cxirkauxpropono
borgermedvirken	civitankunago
borgerråd	civitankonsilo
borger/undersåt	civitano/regato
borgmester	urbestro
borsving	turnborilo
bortblevne	for«beleven»
bortebleven	bortebleven
bortfjernelse	forablacio
bortforklaring	forekspliko
bortforpagtning	for«forpagtning»
bortfører ham/tager ham/det med sig	kidnapas lin/prenas lin/gxi kun sin
bortmejsling af kraniestykke	for«mejsling» de kranipeco
bortskæring af et organ	forintersekco de * organo
bortskæring af livmoderhalsen	forintersekco de la uterkolo
boslod	«bos»loto
bosted &	bosted &
bosætter sig	bosætte sin
bosætter sig i et andet land	bosætte sin en * alia lando
botanik	botaniko
botaniker	botanikul)o
botaniserer	botanikas
botulisme	botulismo
bouillon	buljono
b-overslag	bkostotakso
bovspryd	busprito
boykot	bojkoto
brainstorm, se tankemylder	brainstorm, vidi penssvarmo
braknæse	nekultivitnazo
bramgås	bramansero
branche	komercbrancxo
branchelinier	komercbrancxlinioj
Brancheskole	Brancheskole
brancheskole	komercbrancxlernejo
brancheskolerådet	komercbrancx«skoleråd»
brancheudvalg	komercbrancxkomisiono
brand, bekæmpelse af	fajrego, bekæmpelse de
brand	fajrego
brandfarlig/let antændelig	flamigxema/facila pr«tændelig»
brandmand	brulmeduzo
brandmateriel og udstyr	fajreg«materiel» kaj ekipajxo
brandsikring	fajregcirkvitrompilo
brandskader	fajregdamagxoj
brandstation	fajregstacio
brandsyn	fajregvido
brandsår	brulvundo
brandvedtægt	fajregstatuto
brandvæsen	fajrobrigado
bredde af, til en	largxo de, al onin
bredde	largxo
bredde, nordlig/breddegrad	largxo, norda/koordinato
breder det ud	sternas gxi eksteren
breder det ud/strækker det ud	sternas gxi eksteren/etendas gxi eksteren
breder sig/spredes	sternas sin/disvastigigxas
bred	largxa
bredning/fjordmunding/sund	bredning/fjordbusxo/markolo
bredsiden af en båd	la bordflanko de * boato
bregne	filiko
bremse/en klods om benet	bremso/* (ligno)briketo je la gambo
brevpapir/skrivepapir	leterpapero/skribpapero
brevpresser	brevpresser
brevskole	leterlernejo
brev/skrivelse/noget man har skrevet	letero/skribajxo/io oni havas skribis
brevstemme	letervocxo
brevstemmemateriale	leter«stemmemateriale»
bridge	brigxo
briksebræt	kusxbretbreto
briksekant	ludpecsekanto
brikseskind/underdyne	kusxbrethauxto/dumkovrajxo
briks	kusxbreto
brilleetui	okulvitr«etui»
brilleglas med to slibninger	okulvitr«glas» kun to slibning
briller	okulvitroj
bringer den første portion af fangstudbyttet hjem	alportas la unua porcio de la cxasajxprofito hejmen
bringer det i orden	alportas gxi en ordo
bringer det i orden/ordner det	alportas gxi en ordo/ordigas gxin
bringer det ned	alportas gxi malsupren
bringer det ned til kysten	alportas gxi malsupren al la (mar)bordo
bringer det nærmere til bestemmelsesstedet	alportas gxi pli proksime al la destinloko
bringer det op	alportas gxi supren
bringer det på bane	alportas gxi sur vojo
bringer det/tager det med	alportas gxi/prenas gxi *
bringer ham i knibe	alportas lin en dilemo
bringer ham i ulykke	alportas lin en akcidento
bringer høsten i hus	alportas la rikolto en domo
bringer noget af fangstudbyttet hjem i forvejen	alportas io de la cxasajxprofito hejmen jam
bringer post med kajak/er kajakpost	alportas posteno kun o/estas posteno
bringer tingene i land/losser/læsser af	alportas la ajxoj en lando/deponas/sxargxas *
brint	hidrogeno
brister	krevas
brister/sprænges/eksploderer	krevas/eksplod(ig)igxas/eksplodas
bristning	dekrepito
brochure	brosxuro
broderegarn	brodfadeno
broderer	brodas
broderi	brodajxo
brod	pikilo
brokbind	plendvolumo
brokoperation	plendoperacio
brok	plendo
bronchier	bronchier
bronkitis	bronkito
bronze	bronzo
bro	ponto
bror/broder	frato/frato
bror/broder/søster	frato/frato/fratino
brosme	brosimo
BRT	BRT
brud af alveoleknogle	novedzino de dentalveolosto
brudepar	brudepar
brud	novedzino
brug af rusmidler/narkotika	uzo de novstudentrimedoj/narkotikaj
bruger alle sine kræfter/anstrenger sig	uzas cxiuj siaj fortoj/sinstrecxas sin
bruger det/anvender det	uzanto gxi/aplikas gxin
bruger det i hele dets længde	uzas gxi en tuta gxia(j) longo
bruger det på en fornuftig måde	uzas gxi sur * prudenta maniero
bruger det som brændsel	uzas gxi kiel hejtajxo
bruger det som trækdyr	uzas gxi kiel movbesto
bruger det som undskyldning/undskylder sig med det/bruger det som	uzanto gxi kiel ekskuzo/senkulpigas sin kun gxi/uzanto gxi kiel
bruger det til at lægge maden på	uzanto gxi al * meti la mangxajxo sur
bruger fløde eller mælk i kaffen	uzas kremo aü lakto en la kafo
bruger ham kun som stik-i-rend-dreng	uzas lin nur kiel stikirenddreng
bruger hovedet/bruger sin forstand	uzas la kapo/uzanto sia intelekto
bruger ikke sukker i kaffe eller te	uzanto ne gxemspiras en kafo aü teo
bruger list/hykler	uzas ruzajxo/bigoto
bruger magt over for ham	uzas povo vidalvide de lin
bruger magt/spiller med musklerne/øver vold	uzas povo/ludanto kun la muskoloj/ekzercas perforto
bruger mere tid end beregnet/trækker det i langdrag	uzas pli tempo ol kalkulita/tiras gxi en longtiro
bruger motoren/går for motor	uzas la motoro/iras por motoro
bruger pibeudkrads som skrå	uzas pip«udkrads» kiel tabakmacxajxo
bruger sine kræfter/anstrenger sig	uzas siaj fortoj/sinstrecxas sin
bruger sin tid på unyttige ting	uzas sia tempo sur neutila ajxo
bruger sit pæne tøj til hverdag	uzas sia bona (vest)ajxo al cxiutago
brugerstøtte	uzantapogo
bruger sukker i kaffe eller te	uzanto gxemspiras en kafo aü teo
bruger	uzanto
brugs, brugsen	konsumkooperativo, Brugsen
brugsgenstande	konsumkooperativajxoj
brugsret	fruktuzo
brugsretsansøgning	fruktuzpetskribo
brugstyveri	konsumkooperativsxtelo
brugte teblade	uzita teblad
brummer/mumler	brummer/murmuretas
brun	bruna
brune bønner	brunigi pregxoj
brunlig	brun(ec)e
brus	brus
brusk	kartilago
bruskskive	kartilagdisko
bruskskiver i knæet	kartilagdiskoj en la genuo
bruskskiver i rygsøjlen	kartilagdiskoj en la spino
bruttoavance	kuntaravanco
bruttoetageareal	kuntar«etageareal»
bruttofaktorindkomst	bruttofaktorindkomst
bruttofortjeneste	kuntarmerito
bruttoindkomst	malneta enspezaro
bruttonationalindkomst	kuntar«nationalindkomst»
bruttonationalprodukt	brutta nacia produkto
bruttonationalproduktet	la brutta nacia produkto
bruttoopsparing, offentlig	kuntarsxparo, publike
bruttoregisterton	kuntar«registerton»
Bruttorestindkomst	Bruttorestindkomst
bruttoydelse	kuntarpago
bryder den	rompas gxi
bryder	luktisto
bryder ud i sang/synger for/begynder at fortælle	rompas eksteren en kanto/kantas tro/komencas * rakonti
bryder vandoverfladen med mundpartiet	rompas la akvsurfaco kun la busxpart(i)o
bryggeri/bryggeapparat/bryggekar	bierfarejo/«bryg»aparato/pontujo
brygger øl	bierfaras biero
bryllup	geedzigxo
bryllupsdag	geedzigxtago
brystben	brustosto
bryst	brusto
bryst/brystkasse	brusto/brustkesto
brystkasse	brustkesto
brystkirtlen	la mamglando
brystvorte	cico
brystvorte/en patte på et dyr	cico/* mamo sur * besto
brystvorten/patten på et dyr	la cico/pat sur * besto
brædtet	brædt
bræger	beas
bræ	glaciejo
bræis, lokal	glaciejglacio, lokala
brækjern/koben	levostango/koben
brækker armen	rompas la brako
brækker dem i stykker	rompas ilin * stykke
brækker dens vinge ved et skud	rompas gxia(j) flugilo cxe * pafo
brækker/går i stykker	rompas/iras en stykke
brækket nøgleben	rompita klaviklo
brækmiddel	vomigilo
brænde man har hugget	brulsxtipo oni havas sxtelis
brænder det	brulas gxi
brænder dårligt	brulas malbone
brænder/er tændt	brulas/estas malestingita
brænder godt	brulas bone
brænder sig	brulas sin
brænder sig på maden	brulas sin sur la mangxajxo
brænder tran	brulas fisxoleo
brændestabel	brulsxtiphingxo
brændevin	brando
brændevin/snaps	brando/brando
brændsektionsvæg	brændsektionsvæg
brændsel	hejtajxo
brændselsolie/fyringsolie	hejtajxoleo/«fyring»oleo
brændstofbeholder/tank	fuelrezervujo/benzinujo
brændstof/brændsel	fuelo/hejtajxo
brændt/ristet	brændt/rostita
bræt	breto
brættet/en butik der	brætte/en butiko tie
brødmaskine/pålægsmaskine	panmasxino/surajxmasxino
brødremenigheden/herrnhutterne	la fratparoho/herrnhutterne
brødre/søstre/søskende	fratoj/fratinoj/gefratoj
brødrister	pantoastilo
brød til kaffen	pano al la kafo
brøk	frakcio
brøler	socecismo
brønd	puto
brådsø	brådsø
b-skat	«B»trezoro
BSU eller boligstøtteudvalget	BSU aü Boligstøtteudvalget
BT	BT
budding/gelé	pudingo/gelateno
budding	pudingo
bud/én der bringer en besked ud	sendito/unu kiu(j) alportas * sciigo eksteren
budget	bugxeto
budgetkonto	bugxetkonto
Budgetoverslagsår	Budgetoverslagsår
budgetregulering	bugxet«regulering»
budgettering/budgetlægning	budgettering/bugxet«lægning»
bue/flitsbue	arko/flitsbue
buegange	arkadoj
bue/hvælving	arko/arkajxo
buen på en armbrøst	la arko sur * arbalesto
buen til et drilbor	la arko al * drilo
buestreng/violinstreng	kordo/violonkordo
buffet/anretterbord/skænk	bufedo/anretterbord/skænk
bugflæsk/bugkød	ventrgrasviando/ventrviando
bughule	celomo
bugmuskler	ventrmuskoloj
bugserer/har noget på slæb	bugsere/havas io sur tren(ajx)o
bugserfartøj/slæbebåd	bugserfartøj/trenboato
bugsering	bugsering
bugserredskaber	bugserredskaber
bugsertov/slæbeline	bugsertov/trensxnuro
bugter sig/går i siksak	kurbigas sin/iras en zigzago
bugter sig/vrider sig	kurbigas sin/tordas sin
bugt	golfo
bug	ventro
bugvægsbrok	«bugvæg»plendo
bukker det sammen/bøjer det/folder det	klinigxas gxi kune/fleksas gxi/faldas gxin
bukker for ham	klinigxas por lin
bukker sig	klinigxas sin
bukseben	krurumo
bukseble	«buks»fektuko
buksefjord	«buks»fjordo
bukseklap	«buks»«klap1»
bukselinning	«buks»«linning»
bukser/benklæder	buks/gambtukoj
buksestof	«buks»materi(al)o
bulet	bulet
bulimi	bulimio
bulldozer	buldozo
bumper imod	bumpe kontraux
bums	akno
bums se filipens	akno vidi akno
bunddækningscement	bunddækningscement
bunden er gået ud	la fundo estas iris eksteren
bunden opsparing	bunden sxparo
bundfald	fecxo
bundfald i tranlampen	fecxo en la fisxolelampo
bundfald/sedimenter	fecxo/sedimentoj
bundfald/sjat	fecxo/sjat
bundforholdene er gode	la gxisfundcirkonstancoj estas bonajxo
bund	fundo
bundne midler	bunden midle
bundt/neg	fasko/garbo
bundvand	gxisfundakvo
bungalow	bangalo
bunke	amaso
bunke/flok	amaso/aro
buntmager/garver	buntmager/tanas
bus	buso
buskads/krat	vepro/vepro
busk/en buskagtig vækst	arbusto/* arbusteca kresko
buslomme	busposxo
bussemand	timigulo/nazmukulo
busstoppested	bushaltejo
buste	busto
butik/forretning	butiko/komerco
butiksareal	butikareo
butiksbestyrer	butikadministranto
buttet	buttet
bydelsgrænse	kvartallimo
bydelsinddeling	kvartalklasifiko
bydemåde	imperativo
byder ham velkommen	ordonas lin bonvena
Byer	Byer
byfornyelse	urbregenerado
byfortætning	urb«fortætning»
bygd	bygd
bygdefolk	«bygd»popolo
bygderåd	«bygd»konsilo
bygdeuddannelse	«bygd»eduko
bygdeudvikling	«bygd»evoluo
byge	pluvvento
byggeaktivitet/anlægsarbejde	konstruaktiveco/ejlaboro
byggefelter	hordefakoj
byggeleder	konstrugvidanto
byggelinie	konstrulinio
byggelovgivning	konstrulegxdonado
byggelån	konstruprunto
byggelånsrenter	«byggelån»interezoj
byggematerialer	konstrumaterialoj
byggemodning	konstru«modning»
bygge og anlæg	konstrui kaj ejo
bygge og anlægsskole	bygge kaj ejlernejo
Bygge- og Anlægsskole	Bygge- og Anlægsskole
bygge og anlægsskolen	bygge kaj la ejlernejo
Bygge- og Anlægsskolen	Bygge- og Anlægsskolen
bygge og anlægsstyrelsen	bygge kaj la ejadministrejo
byggeomkostningsindeks	byggeomkostningsindeks
byggeopgørelse	hordebilanco
byggeregnskab	konstruspezkalkulo
bygger en dæmning	konstruas * akvobarajxo
bygger en kajak	konstruas * o
bygger en sejldugsjolle	konstruas * veltolbarketo
bygger et hus	konstruas * domo
bygger et redskab til hvalrosjagten	konstruas * ilo al la rosmarcxasado
byggeri	konstruado
bygger rede	konstruas nesto
byggerådgiver	hordekonsilanto
byggestandard	hordenormo
byggesum	hordesumo
byggetilladelse	konstrukoncesio
byggevæsen, grønlands	hordeestajxo, grønlands
byggryn	hordegrio
bygherre	konstruestro
byg	hordeo
bygkorn	hordeolo
bygning	konstruajxo
bygningsbrandforsikring	konstruajx«brandforsikring»
bygningsdel	konstruajxparto
bygningseksempler	konstruajxekzemploj
bygningsfejl	«bygnings»eraro
bygningsforsikring	konstruajxasekuro
bygningsfredning	konstruajx«fredning»
bygningsfredningsråd	bygningsfredningsråd
bygningskompleks	«bygnings»komplekso
bygningsmyndighed	«bygnings»instanco
bygningsregistrering	konstruajxregistrado
bygningsreglement	«bygnings»regularo
bykort	urbkarto
byld	absceso
bymidte/bycenter/centrum	urbmezo/urbcentro/centro
bymidte	urbmezo
bymønster	urbmodelo
bynært	urbproksime
byplanlægning	urboplanado
byplanmyndighed	«byplan»instanco
byplan	urbplano
byrdefordeling	«byrd»distribuo
byrde/læs	sxargxo/sxargxo
byrde/noget der tynger	sxargxo/io kiu(j) premas
bysamfund	urbsocio
byttepenge/vekslepenge	apuntoj/(inter)sxangxmonoj
byudvikling	urbevoluo
by	urbo
byzone	urbzono
bækkenbund	pelvfundo
bækken	la rojo
bæk	rojo
bælte/livrem	zono/ventrozono
bælte	zono
bændel	bendo
bændelorm	tenio
bær der er plukket	bero kiu(j) estas plukita
bær der sidder i en tæt klynge	bero kiu(j) sidas en * densa klynge
bærebør	bærebør
bæredygtig	portkompetente
bærepels ( en grønlandsk kvindepels med plads til et barn p	berfelo ( * grenlanda virinfelo kun loko al * infano p
bærer dem ind i flere omgange	portas ilin en pli multaj rondiroj
bærer det for ham	portas gxi por lin
bærer det frem/fører ham frem	portilo gxi antauxen/gvidas lin antauxen
bærer det ind/indfører det	portilo gxi enen/enkondukas gxin
bærer det med bunden i vejret over land	portas gxi kun la fundo supren super lando
bærer det på armen	portas gxi sur la brako
bærer det på skulderen	portas gxi sur la sxultro
bærer ham på ryggen	portas lin sur la dorso
bærer nag/ruger over en fornærmelse	portas malamikeco/kovas super * insulto
bærer noget i begge hænder	portilo io en ambaü okazas
bærer noget i favnen	portas io en la cxirkauxpreno
bærer noget imellem sig	portas io imellem sin
bærer noget på skulderen	portas io sur la sxultro
bærer noget under armen	portas io sub la brako
bærer over med ham	portilo trans kun lin
bærer over med ham/skåner ham/det	portilo trans kun lin/prisingardas lin/gxin
bærer sig ad som en dansker/gør noget typisk dansk	portas sin ad samkiel * dano/faras io tipa dansk
bærer sig ad som en gal	portas sin ad kiel * freneza
bærer sig dumt ad/er lidt til grin fordi han bærer sig ad som en g	portas sin stulte ad/estas iomete al ridacxo cxar li portas sin ad kiel onin g
